int_id;rest_id;rest_name;website;lat;lng;neighborhood
469;757d7ba2-b6a6-5efa-9f75-c2383c982b5c;AMT Coffee;http://amtcoffee.co.uk;51,517831;-0,084308;City
1051;00d29a58-c4a2-550d-9f4e-9ac2b9120499;Three tunes;https://www.greeneking-pubs.co.uk;51,514765;-0,155987;City
903;4245de7d-c963-5eed-9a84-3f0e47629eb0;El Vino Fleet Street;https://elvino.co.uk;51,514253;-0,109225;City
329;977298a2-68e6-54da-b150-bbeeee20d204;The Grill on the Market;http://blackhouse.uk.com;51,518629;-0,102328;City
889;79ddb69d-aa87-5e55-86ce-ea09805266e9;The ship;https://www.nicholsonspubs.co.uk;51,511302;-0,084786;City
716;138a0b20-a7ee-599a-8690-311d42fe6003;Broadleaf;https://broadleaflondon.com/;51,515311;0,083211;City
182;c2d573e9-ef7d-5819-812f-922b53a7c1d4;Boisdale of Bishopsgate;https://www.boisdale.co.uk/bishopsgate/the-venue/;51,518327;-0,079553;City
881;4850daf1-46f5-5092-8712-8d9bac34656c;The fat bar;http://www.thefatbear.co.uk/;51,513351;-0,101299;City
753;3fc69a7d-5e02-50a0-acee-a10cc89915f4;Shake Shack Mansion House;https://www.tripadvisor.com/Restaurant_Review-g186338-d14914145-Reviews-Shake_Shack_Mansion_House-London_England.html;51,512921;-0,094065;City
770;7f05887a-3772-5d69-aaa3-738ea5b72273;Caravan City;https://www.caravanrestaurants.co.uk;51,512173;-0,091172;City
183;0bcfee8d-7b50-5df4-b0c2-2e8be2ef64d2;Cinnamon Kitchen City;http://www.cinnamon-kitchen.com/;51,517295;-0,078492;City
185;c0ec2f5b-c708-5b75-ab60-570d628ad935;Polo Bar;http://polo24hourbar.co.uk;51,517808;-0,080124;City
190;520235be-8420-5a6f-acf9-9ef79c4137c1;El Vino Blackfriars;https://elvino.co.uk;51,512613;-0,103907;City
193;a63dea7e-9d36-56d5-81dd-4251471e4a97;Nyokee;http://nyokee.co.uk;51,512261;-0,093702;City
194;1a1cf1b9-e889-5dd4-bfaa-d40e289d7ade;Comptoir Libanais;https://www.comptoirlibanais.com;51,519092;-0,083746;City
195;a1235a2f-1a84-5251-85f4-47042e724b0c;Assenheims 56;http://assenheims.com;51,516729;-0,087515;City
1050;fa4cd788-2a1e-5db1-b83f-ec4248879745;The Mercer;http://www.themercer.co.uk;51,514384;-0,08633;City
1049;a5a2968a-779f-57d4-9cef-932cd9a103e7;The Temple Brew House;https://www.templebrewhouse.com;51,513138;-0,113009;City
196;3aec0db8-29b2-5ec1-85f2-6838a61f3b71;Humble Grape - Fleet Street;https://www.humblegrape.co.uk;51,513818;-0,105264;City
198;9c15acdb-01b0-51f5-b396-e2d2106d42f7;Enoteca Da Luca;https://enotecadaluca.co.uk/guildhall/;51,515791;-0,090879;City
203;ed3a9b05-e6c9-51e3-b03b-5683748331a2;Kudos Delivered;https://kudosdelivered.co.uk;51,514811;-0,083672;City
779;4b479ea9-473f-5343-8856-e5e90bf9eee4;Bad Egg;https://www.badegg.london;51,519401;-0,08976;City
785;b75d5a5e-06c7-553e-b6a7-dfd7c23673f3;Caf? Brera;https://www.cafebrera.com/;51,512356;-0,079174;City
1046;3e569351-6fbd-54f9-b896-47df3fa4df23;Merchant of Bishopsgate Freehouse & Kitchen;http://www.iamthemerchant.com;51,518965;-0,081437;City
